"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2024 Presidential Election","NORTHAMPTON","President of the United States","Statewide","Republican","DONALD J TRUMP","89,817","0","0","66,942","0","0","21,653","0","0","1,222","0","0"
"2024 Presidential Election","NORTHAMPTON","President of the United States","Statewide","Libertarian","CHASE OLIVER","813","0","0","562","0","0","240","0","0","11","0","0"
"2024 Presidential Election","NORTHAMPTON","President of the United States","Statewide","Green Party","JILL STEIN","930","0","0","594","0","0","306","0","0","30","0","0"
"2024 Presidential Election","NORTHUMBERLAND","President of the United States","Statewide","Democratic","KAMALA D HARRIS","12,863","0","0","8,680","0","0","4,081","0","0","102","0","0"
"2024 Presidential Election","NORTHUMBERLAND","President of the United States","Statewide","Republican","DONALD J TRUMP","30,240","0","0","25,474","0","0","4,562","0","0","204","0","0"
"2024 Presidential Election","NORTHUMBERLAND","President of the United States","Statewide","Libertarian","CHASE OLIVER","255","0","0","202","0","0","52","0","0","1","0","0"
"2024 Presidential Election","NORTHUMBERLAND","President of the United States","Statewide","Green Party","JILL STEIN","164","0","0","123","0","0","38","0","0","3","0","0"
"2024 Presidential Election","PERRY","President of the United States","Statewide","Democratic","KAMALA D HARRIS","6,385","0","0","4,064","0","0","2,292","0","0","29","0","0"
"2024 Presidential Election","PERRY","President of the United States","Statewide","Republican","DONALD J TRUMP","19,073","0","0","16,146","0","0","2,872","0","0","55","0","0"
"2024 Presidential Election","PERRY","President of the United States","Statewide","Libertarian","CHASE OLIVER","164","0","0","144","0","0","20","0","0","0","0","0"
"2024 Presidential Election","PERRY","President of the United States","Statewide","Green Party","JILL STEIN","103","0","0","83","0","0","20","0","0","0","0","0"
"2024 Presidential Election","PHILADELPHIA","President of the United States","Statewide","Democratic","KAMALA D HARRIS","568,571","0","0","388,223","0","0","170,390","0","0","9,958","0","0"
"2024 Presidential Election","PHILADELPHIA","President of the United States","Statewide","Republican","DONALD J TRUMP","144,311","0","0","118,451","0","0","23,922","0","0","1,938","0","0"
"2024 Presidential Election","PHILADELPHIA","President of the United States","Statewide","Libertarian","CHASE OLIVER","2,326","0","0","1,766","0","0","517","0","0","43","0","0"
"2024 Presidential Election","PHILADELPHIA","President of the United States","Statewide","Green Party","JILL STEIN","6,233","0","0","4,482","0","0","1,627","0","0","124","0","0"
"2024 Presidential Election","PIKE","President of the United States","Statewide","Democratic","KAMALA D HARRIS","13,132","0","0","5,881","0","0","7,120","0","0","131","0","0"
"2024 Presidential Election","PIKE","President of the United States","Statewide","Republican","DONALD J TRUMP","21,537","0","0","13,594","0","0","7,710","0","0","233","0","0"
"2024 Presidential Election","PIKE","President of the United States","Statewide","Libertarian","CHASE OLIVER","137","0","0","87","0","0","50","0","0","0","0","0"
"2024 Presidential Election","PIKE","President of the United States","Statewide","Green Party","JILL STEIN","144","0","0","77","0","0","66","0","0","1","0","0"
"2024 Presidential Election","POTTER","President of the United States","Statewide","Democratic","KAMALA D HARRIS","1,675","0","0","1,054","0","0","617","0","0","4","0","0"
"2024 Presidential Election","POTTER","President of the United States","Statewide","Republican","DONALD J TRUMP","7,334","0","0","6,123","0","0","1,194","0","0","17","0","0"
"2024 Presidential Election","POTTER","President of the United States","Statewide","Libertarian","CHASE OLIVER","56","0","0","52","0","0","4","0","0","0","0","0"
"2024 Presidential Election","POTTER","President of the United States","Statewide","Green Party","JILL STEIN","20","0","0","15","0","0","5","0","0","0","0","0"
"2024 Presidential Election","SCHUYLKILL","President of the United States","Statewide","Democratic","KAMALA D HARRIS","20,882","0","0","13,674","0","0","7,072","0","0","136","0","0"
"2024 Presidential Election","SCHUYLKILL","President of the United States","Statewide","Republican","DONALD J TRUMP","51,665","0","0","43,942","0","0","7,502","0","0","221","0","0"
"2024 Presidential Election","SCHUYLKILL","President of the United States","Statewide","Libertarian","CHASE OLIVER","369","0","0","296","0","0","73","0","0","0","0","0"
"2024 Presidential Election","SCHUYLKILL","President of the United States","Statewide","Green Party","JILL STEIN","268","0","0","200","0","0","68","0","0","0","0","0"
"2024 Presidential Election","SNYDER","President of the United States","Statewide","Democratic","KAMALA D HARRIS","5,239","0","0","3,255","0","0","1,934","0","0","50","0","0"
"2024 Presidential Election","SNYDER","President of the United States","Statewide","Republican","DONALD J TRUMP","14,664","0","0","12,145","0","0","2,454","0","0","65","0","0"
"2024 Presidential Election","SNYDER","President of the United States","Statewide","Libertarian","CHASE OLIVER","90","0","0","69","0","0","21","0","0","0","0","0"
"2024 Presidential Election","SNYDER","President of the United States","Statewide","Green Party","JILL STEIN","45","0","0","32","0","0","13","0","0","0","0","0"
"2024 Presidential Election","SOMERSET","President of the United States","Statewide","Democratic","KAMALA D HARRIS","8,596","0","0","5,543","0","0","3,019","0","0","34","0","0"
"2024 Presidential Election","SOMERSET","President of the United States","Statewide","Republican","DONALD J TRUMP","31,993","0","0","27,536","0","0","4,356","0","0","101","0","0"
"2024 Presidential Election","SOMERSET","President of the United States","Statewide","Libertarian","CHASE OLIVER","189","0","0","152","0","0","35","0","0","2","0","0"
"2024 Presidential Election","SOMERSET","President of the United States","Statewide","Green Party","JILL STEIN","103","0","0","89","0","0","14","0","0","0","0","0"
"2024 Presidential Election","SULLIVAN","President of the United States","Statewide","Democratic","KAMALA D HARRIS","976","0","0","645","0","0","327","0","0","4","0","0"
"2024 Presidential Election","SULLIVAN","President of the United States","Statewide","Republican","DONALD J TRUMP","2,721","0","0","2,279","0","0","432","0","0","10","0","0"
"2024 Presidential Election","SULLIVAN","President of the United States","Statewide","Libertarian","CHASE OLIVER","12","0","0","9","0","0","3","0","0","0","0","0"
"2024 Presidential Election","SULLIVAN","President of the United States","Statewide","Green Party","JILL STEIN","12","0","0","10","0","0","2","0","0","0","0","0"
"2024 Presidential Election","SUSQUEHANNA","President of the United States","Statewide","Democratic","KAMALA D HARRIS","6,093","0","0","3,711","0","0","2,337","0","0","45","0","0"
"2024 Presidential Election","SUSQUEHANNA","President of the United States","Statewide","Republican","DONALD J TRUMP","16,114","0","0","13,067","0","0","2,904","0","0","143","0","0"
"2024 Presidential Election","SUSQUEHANNA","President of the United States","Statewide","Libertarian","CHASE OLIVER","131","0","0","108","0","0","22","0","0","1","0","0"
"2024 Presidential Election","SUSQUEHANNA","President of the United States","Statewide","Green Party","JILL STEIN","66","0","0","45","0","0","21","0","0","0","0","0"
"2024 Presidential Election","TIOGA","President of the United States","Statewide","Democratic","KAMALA D HARRIS","5,100","0","0","3,323","0","0","1,757","0","0","20","0","0"
"2024 Presidential Election","TIOGA","President of the United States","Statewide","Republican","DONALD J TRUMP","16,272","0","0","13,718","0","0","2,505","0","0","49","0","0"
"2024 Presidential Election","TIOGA","President of the United States","Statewide","Libertarian","CHASE OLIVER","144","0","0","125","0","0","19","0","0","0","0","0"
"2024 Presidential Election","TIOGA","President of the United States","Statewide","Green Party","JILL STEIN","71","0","0","47","0","0","23","0","0","1","0","0"
"2024 Presidential Election","UNION","President of the United States","Statewide","Democratic","KAMALA D HARRIS","8,015","0","0","4,993","0","0","2,953","0","0","69","0","0"
"2024 Presidential Election","UNION","President of the United States","Statewide","Republican","DONALD J TRUMP","12,969","0","0","10,298","0","0","2,560","0","0","111","0","0"
"2024 Presidential Election","UNION","President of the United States","Statewide","Libertarian","CHASE OLIVER","100","0","0","86","0","0","13","0","0","1","0","0"
"2024 Presidential Election","UNION","President of the United States","Statewide","Green Party","JILL STEIN","104","0","0","75","0","0","29","0","0","0","0","0"
"2024 Presidential Election","VENANGO","President of the United States","Statewide","Democratic","KAMALA D HARRIS","7,624","0","0","4,717","0","0","2,806","0","0","101","0","0"
"2024 Presidential Election","VENANGO","President of the United States","Statewide","Republican","DONALD J TRUMP","18,883","0","0","15,910","0","0","2,833","0","0","140","0","0"
"2024 Presidential Election","VENANGO","President of the United States","Statewide","Libertarian","CHASE OLIVER","137","0","0","107","0","0","30","0","0","0","0","0"
"2024 Presidential Election","VENANGO","President of the United States","Statewide","Green Party","JILL STEIN","88","0","0","65","0","0","21","0","0","2","0","0"
"2024 Presidential Election","WARREN","President of the United States","Statewide","Democratic","KAMALA D HARRIS","6,212","0","0","3,983","0","0","2,197","0","0","32","0","0"
"2024 Presidential Election","WARREN","President of the United States","Statewide","Republican","DONALD J TRUMP","14,345","0","0","12,173","0","0","2,122","0","0","50","0","0"
"2024 Presidential Election","WARREN","President of the United States","Statewide","Libertarian","CHASE OLIVER","113","0","0","89","0","0","24","0","0","0","0","0"
"2024 Presidential Election","WARREN","President of the United States","Statewide","Green Party","JILL STEIN","53","0","0","40","0","0","13","0","0","0","0","0"
"2024 Presidential Election","WASHINGTON","President of the United States","Statewide","Democratic","KAMALA D HARRIS","44,910","0","0","27,742","0","0","16,929","0","0","239","0","0"
"2024 Presidential Election","WASHINGTON","President of the United States","Statewide","Republican","DONALD J TRUMP","75,929","0","0","63,414","0","0","12,171","0","0","344","0","0"
"2024 Presidential Election","WASHINGTON","President of the United States","Statewide","Libertarian","CHASE OLIVER","524","0","0","408","0","0","110","0","0","6","0","0"
"2024 Presidential Election","WASHINGTON","President of the United States","Statewide","Green Party","JILL STEIN","254","0","0","194","0","0","58","0","0","2","0","0"
"2024 Presidential Election","WAYNE","President of the United States","Statewide","Democratic","KAMALA D HARRIS","9,150","0","0","5,047","0","0","4,058","0","0","45","0","0"
"2024 Presidential Election","WAYNE","President of the United States","Statewide","Republican","DONALD J TRUMP","20,071","0","0","14,991","0","0","4,931","0","0","149","0","0"
"2024 Presidential Election","WAYNE","President of the United States","Statewide","Libertarian","CHASE OLIVER","125","0","0","89","0","0","36","0","0","0","0","0"
"2024 Presidential Election","WAYNE","President of the United States","Statewide","Green Party","JILL STEIN","98","0","0","75","0","0","23","0","0","0","0","0"
"2024 Presidential Election","WESTMORELAND","President of the United States","Statewide","Democratic","KAMALA D HARRIS","74,904","0","0","44,718","0","0","29,800","0","0","386","0","0"
"2024 Presidential Election","WESTMORELAND","President of the United States","Statewide","Republican","DONALD J TRUMP","135,008","0","0","110,249","0","0","24,161","0","0","598","0","0"
"2024 Presidential Election","WESTMORELAND","President of the United States","Statewide","Libertarian","CHASE OLIVER","971","0","0","730","0","0","239","0","0","2","0","0"
"2024 Presidential Election","WESTMORELAND","President of the United States","Statewide","Green Party","JILL STEIN","567","0","0","388","0","0","175","0","0","4","0","0"
"2024 Presidential Election","WYOMING","President of the United States","Statewide","Democratic","KAMALA D HARRIS","4,680","0","0","2,939","0","0","1,719","0","0","22","0","0"
"2024 Presidential Election","WYOMING","President of the United States","Statewide","Republican","DONALD J TRUMP","10,222","0","0","8,560","0","0","1,623","0","0","39","0","0"
"2024 Presidential Election","WYOMING","President of the United States","Statewide","Libertarian","CHASE OLIVER","90","0","0","69","0","0","20","0","0","1","0","0"
"2024 Presidential Election","WYOMING","President of the United States","Statewide","Green Party","JILL STEIN","60","0","0","40","0","0","20","0","0","0","0","0"
"2024 Presidential Election","YORK","President of the United States","Statewide","Democratic","KAMALA D HARRIS","91,926","0","0","55,238","0","0","35,072","0","0","1,616","0","0"
"2024 Presidential Election","YORK","President of the United States","Statewide","Republican","DONALD J TRUMP","154,884","0","0","125,588","0","0","27,601","0","0","1,695","0","0"
"2024 Presidential Election","YORK","President of the United States","Statewide","Libertarian","CHASE OLIVER","1,422","0","0","1,121","0","0","286","0","0","15","0","0"
"2024 Presidential Election","YORK","President of the United States","Statewide","Green Party","JILL STEIN","978","0","0","675","0","0","278","0","0","25","0","0"
